Assembly,isolation source
GCA_023928865.1,CF_Respiratory
GCA_023928875.1,CF_Respiratory
GCA_023928905.1,CF_Respiratory
GCA_023928925.1,CF_Respiratory
GCA_023928945.1,CF_Respiratory
GCA_023928965.1,CF_Respiratory
GCA_023928985.1,CF_Respiratory
GCA_023929005.1,CF_Respiratory
GCA_023929025.1,CF_Respiratory
GCA_023929045.1,CF_Respiratory
GCA_023929065.1,CF_Respiratory
GCA_023929085.1,CF_Respiratory
GCA_023929105.1,CF_Respiratory
GCA_023929125.1,CF_Respiratory
GCA_023929145.1,CF_Respiratory
GCA_023929165.1,CF_Respiratory
GCA_023929175.1,CF_Respiratory
GCA_023929205.1,CF_Respiratory
GCA_023929225.1,CF_Respiratory
GCA_023929245.1,CF_Respiratory
GCA_023929265.1,CF_Respiratory
GCA_023929285.1,CF_Respiratory
GCA_023929305.1,CF_Respiratory
GCA_023929325.1,CF_Respiratory
GCA_023929345.1,CF_Respiratory
GCA_023929365.1,CF_Respiratory
GCA_023929385.1,CF_Respiratory
GCA_023929405.1,CF_Respiratory
GCA_023929425.1,CF_Respiratory
GCA_023929445.1,CF_Respiratory
GCA_023929455.1,CF_Respiratory
GCA_023929485.1,CF_Respiratory
GCA_023929505.1,CF_Respiratory
GCA_023929525.1,CF_Respiratory
GCA_023929545.1,CF_Respiratory
GCA_023929555.1,CF_Respiratory
GCA_023929585.1,CF_Respiratory
GCA_023929605.1,CF_Respiratory
GCA_023929615.1,CF_Respiratory
GCA_023929705.1,CF_Respiratory
GCA_023929715.1,CF_Respiratory
GCA_023929785.1,CF_Respiratory
GCA_023929805.1,CF_Respiratory
GCA_023929825.1,CF_Respiratory
GCA_023929845.1,CF_Respiratory
GCA_023929945.1,CF_Respiratory
GCA_023929965.1,CF_Respiratory
GCA_023930005.1,CF_Respiratory
GCA_023930025.1,CF_Respiratory
GCA_023930045.1,CF_Respiratory
GCA_023930125.1,CF_Respiratory
GCA_023932025.1,CF_Respiratory
GCA_023932085.1,CF_Respiratory
GCA_023932165.1,CF_Respiratory
GCA_023932215.1,CF_Respiratory
GCA_023932205.1,CF_Respiratory
GCA_023932245.1,CF_Respiratory
GCA_023932285.1,CF_Respiratory
GCA_023932305.1,CF_Respiratory
GCA_023932365.1,CF_Respiratory
GCA_023932405.1,CF_Respiratory
GCA_023932415.1,CF_Respiratory
GCA_023932465.1,CF_Respiratory
GCA_023932505.1,CF_Respiratory
GCA_023932585.1,CF_Respiratory
GCA_023932625.1,CF_Respiratory
GCA_023932645.1,CF_Respiratory
GCA_023932665.1,CF_Respiratory
GCA_023932705.1,CF_Respiratory
GCA_023932765.1,CF_Respiratory
GCA_023932805.1,CF_Respiratory
GCA_023932825.1,CF_Respiratory
GCA_023932875.1,CF_Respiratory
GCA_023932865.1,CF_Respiratory
GCA_023932925.1,CF_Respiratory
GCA_023932965.1,CF_Respiratory
GCA_023933045.1,CF_Respiratory
GCA_023933035.1,CF_Respiratory
GCA_023933025.1,CF_Respiratory
GCA_023933105.1,CF_Respiratory
GCA_023933145.1,CF_Respiratory
GCA_023933165.1,CF_Respiratory
GCA_023933175.1,CF_Respiratory
GCA_023933195.1,CF_Respiratory
GCA_023933225.1,CF_Respiratory
GCA_023933245.1,CF_Respiratory
GCA_023933285.1,CF_Respiratory
GCA_023933265.1,CF_Respiratory
GCA_023933295.1,CF_Respiratory
GCA_023933325.1,CF_Respiratory
GCA_023933345.1,CF_Respiratory
GCA_023933365.1,CF_Respiratory
GCA_023933385.1,CF_Respiratory
GCA_023933405.1,CF_Respiratory
GCA_023933425.1,CF_Respiratory
GCA_023933445.1,CF_Respiratory
GCA_023933465.1,CF_Respiratory
GCA_023933485.1,CF_Respiratory
GCA_023933495.1,CF_Respiratory
GCA_023933505.1,CF_Respiratory
GCA_023933545.1,CF_Respiratory
GCA_023933565.1,CF_Respiratory
GCA_023933585.1,CF_Respiratory
GCA_023933595.1,CF_Respiratory
GCA_023933625.1,CF_Respiratory
GCA_023933645.1,CF_Respiratory
GCA_023933665.1,CF_Respiratory
GCA_023933685.1,CF_Respiratory
GCA_023933705.1,CF_Respiratory
GCA_023933725.1,CF_Respiratory
GCA_023933745.1,CF_Respiratory
GCA_023933765.1,CF_Respiratory
GCA_023933785.1,CF_Respiratory
GCA_023933795.1,CF_Respiratory
GCA_023933825.1,CF_Respiratory
GCA_023933845.1,CF_Respiratory
GCA_023933865.1,CF_Respiratory
GCA_023933885.1,CF_Respiratory
GCA_023933905.1,CF_Respiratory
GCA_023933925.1,CF_Respiratory
GCA_023933945.1,CF_Respiratory
GCA_023933965.1,CF_Respiratory
GCA_023933985.1,CF_Respiratory
GCA_023934005.1,CF_Respiratory
GCA_023934025.1,CF_Respiratory
GCA_023958495.2,Urinary
GCA_023958525.1,Ear_Nose_Throat
GCA_023982915.1,Gastrointestinal
GCA_024106435.1,CF_Respiratory
GCA_024106455.1,CF_Respiratory
GCA_024106475.1,CF_Respiratory
GCA_024106465.1,CF_Respiratory
GCA_024106515.1,CF_Respiratory
GCA_024106535.1,CF_Respiratory
GCA_024106555.1,CF_Respiratory
GCA_024106575.1,CF_Respiratory
GCA_024106585.1,CF_Respiratory
GCA_024106605.1,CF_Respiratory
GCA_024106625.1,CF_Respiratory
GCA_024106675.1,CF_Respiratory
GCA_024106685.1,CF_Respiratory
GCA_024106665.1,CF_Respiratory
GCA_024106655.1,CF_Respiratory
GCA_024106735.1,CF_Respiratory
GCA_024106755.1,CF_Respiratory
GCA_024106775.1,CF_Respiratory
GCA_024106795.1,CF_Respiratory
GCA_024106785.1,CF_Respiratory
GCA_024106835.1,CF_Respiratory
GCA_024106855.1,CF_Respiratory
GCA_024106875.1,CF_Respiratory
GCA_024106895.1,CF_Respiratory
GCA_024106915.1,CF_Respiratory
GCA_024106935.1,CF_Respiratory
GCA_024106955.1,CF_Respiratory
GCA_024106975.1,CF_Respiratory
GCA_024106995.1,CF_Respiratory
GCA_024107015.1,CF_Respiratory
GCA_024107025.1,CF_Respiratory
GCA_024107055.1,CF_Respiratory
GCA_024107075.1,CF_Respiratory
GCA_024107095.1,CF_Respiratory
GCA_024107115.1,CF_Respiratory
GCA_024107145.1,CF_Respiratory
GCA_024107135.1,CF_Respiratory
GCA_024107175.1,CF_Respiratory
GCA_024107195.1,CF_Respiratory
GCA_024107215.1,CF_Respiratory
GCA_024107235.1,CF_Respiratory
GCA_024107245.1,CF_Respiratory
GCA_024107275.1,CF_Respiratory
GCA_024107255.1,CF_Respiratory
GCA_024107315.1,CF_Respiratory
GCA_024107345.1,CF_Respiratory
GCA_024107375.1,CF_Respiratory
GCA_024107385.1,CF_Respiratory
GCA_024133545.1,Urinary
GCA_024126335.1,Skin_Soft_Tissue
GCA_024126355.1,Skin_Soft_Tissue
GCA_024179125.1,Respiratory
GCA_024179135.1,Respiratory
GCA_024179165.1,Respiratory
GCA_024179205.1,Skin_Soft_Tissue
GCA_024179225.1,Gastrointestinal
GCA_024179235.1,Skin_Soft_Tissue
GCA_024179265.1,Respiratory
GCA_024212995.1,Soil
GCA_024213115.1,Soil
GCA_024225835.1,Respiratory
GCA_024244425.1,Respiratory
GCA_024256745.1,Respiratory
GCA_024244775.1,Respiratory
GCA_024253935.1,Respiratory
GCA_024264885.1,Respiratory
GCA_024264765.1,Bloodstream
GCA_024267575.1,Respiratory
GCA_024267695.1,Respiratory
GCA_024268625.1,Respiratory
GCA_024272185.1,Respiratory
GCA_024272245.1,Respiratory
GCA_024272165.1,Respiratory
GCA_024272205.1,Bloodstream
GCA_024272145.1,Respiratory
GCA_024272065.1,Respiratory
GCA_024272005.1,Respiratory
GCA_024262065.1,Soil
GCA_024262085.1,Gastrointestinal
GCA_024266805.1,Soil
GCA_024266915.1,Urinary
GCA_024266935.1,Respiratory
GCA_024301465.1,Respiratory
GCA_024301445.1,Respiratory
GCA_024303385.1,Respiratory
GCA_024301405.1,Respiratory
GCA_024303365.1,Respiratory
GCA_024301245.1,Respiratory
GCA_024301225.1,Respiratory
GCA_024303345.1,Respiratory
GCA_024301185.1,Respiratory
GCA_024302365.1,Respiratory
GCA_024301205.1,Respiratory
GCA_024303245.1,Respiratory
GCA_024303225.1,Respiratory
GCA_024302345.1,Respiratory
GCA_024301145.1,Respiratory
GCA_024302045.1,Respiratory
GCA_024298145.1,Respiratory
GCA_024298365.1,Respiratory
GCA_024320675.1,Urinary
GCA_024319695.1,Urinary
GCA_024320635.1,Respiratory
GCA_024320095.1,Respiratory
GCA_024320575.1,Respiratory
GCA_024319955.1,Respiratory
GCA_024319935.1,Respiratory
GCA_024320735.1,Respiratory
GCA_024324775.1,Respiratory
GCA_024319655.1,Respiratory
GCA_024320275.1,Urinary
GCA_024320615.1,Skin_Soft_Tissue
GCA_024319595.1,Respiratory
GCA_024324735.1,Respiratory
GCA_024319135.1,Respiratory
GCA_024320255.1,Respiratory
GCA_024322555.1,Respiratory
GCA_024319675.1,Respiratory
GCA_024319635.1,Water
GCA_024319855.1,Respiratory
GCA_024319615.1,Medical_Device
GCA_024319915.1,Respiratory
GCA_024319575.1,Respiratory
GCA_024319895.1,Respiratory
GCA_024319535.1,Respiratory
GCA_024320655.1,Bloodstream
GCA_024319515.1,Respiratory
GCA_024351585.1,Respiratory
GCA_024319155.1,Skin_Soft_Tissue
GCA_024319115.1,Respiratory
GCA_024320015.1,Urinary
GCA_024319085.1,Urinary
GCA_024351565.1,Medical_Device
GCA_024319875.1,Urinary
GCA_024319835.1,Respiratory
GCA_024320595.1,Respiratory
GCA_024319475.1,Skin_Soft_Tissue
GCA_024351545.1,Urinary
GCA_024320555.1,Respiratory
GCA_024319015.1,Respiratory
GCA_024323035.1,Respiratory
GCA_024323015.1,Urinary
GCA_024350565.1,Urinary
GCA_024737695.1,Skin_Soft_Tissue
GCA_024319815.1,Gastrointestinal
GCA_024322535.1,Respiratory
GCA_024320535.1,Respiratory
GCA_024320035.1,Urinary
GCA_024319795.1,Respiratory
GCA_024322495.1,Respiratory
GCA_024319495.1,Respiratory
GCA_024322515.1,Respiratory
GCA_024322455.1,Respiratory
GCA_024323065.1,Bloodstream
GCA_024322475.1,Respiratory
GCA_024319775.1,Respiratory
GCA_024351465.1,Skin_Soft_Tissue
GCA_024318975.1,Respiratory
GCA_024320115.1,Urinary
GCA_024323315.1,Respiratory
GCA_024320055.1,Respiratory
GCA_024351405.1,Respiratory
GCA_024323455.1,Respiratory
GCA_024320215.1,Respiratory
GCA_024322415.1,Respiratory
GCA_024319975.1,Respiratory
GCA_024319035.1,Respiratory
GCA_024319415.1,Respiratory
GCA_024319275.1,Respiratory
GCA_024351425.1,Respiratory
GCA_024319555.1,Respiratory
GCA_024320495.1,Water
GCA_024320475.1,Respiratory
GCA_024351505.1,Respiratory
GCA_024319395.1,Respiratory
GCA_024319755.1,Skin_Soft_Tissue
GCA_024320355.1,Respiratory
GCA_024319295.1,Respiratory
GCA_024322995.1,Bloodstream
GCA_024324715.1,Water
GCA_024319255.1,Bloodstream
GCA_024351525.1,Bloodstream
GCA_024319215.1,Respiratory
GCA_024319735.1,Respiratory
GCA_024320695.1,Urinary
GCA_024322975.1,Urinary
GCA_024320235.1,Urinary
GCA_024319435.1,Bloodstream
GCA_024319455.1,Skin_Soft_Tissue
GCA_024320315.1,Urinary
GCA_024319055.1,Urinary
GCA_024319995.1,Bloodstream
GCA_024320415.1,Respiratory
GCA_024320135.1,Urinary
GCA_024322395.1,Urinary
GCA_024320455.1,Bloodstream
GCA_024321935.1,Medical_Device
GCA_024319235.1,Bloodstream
GCA_024351485.1,Bloodstream
GCA_024320395.1,Urinary
GCA_024319355.1,Urinary
GCA_024324675.1,Skin_Soft_Tissue
GCA_024319315.1,Respiratory
GCA_024327105.1,Urinary
GCA_024320335.1,Urinary
GCA_024320155.1,Urinary
GCA_024319175.1,Respiratory
GCA_024319375.1,Urinary
GCA_024321855.1,Respiratory
GCA_024320375.1,Urinary
GCA_024322435.1,Urinary
GCA_024322955.1,Medical_Device
GCA_024320435.1,Respiratory
GCA_024351385.1,Respiratory
GCA_024319075.1,Respiratory
GCA_024319715.1,Urinary
GCA_024319335.1,Respiratory
GCA_024320295.1,Respiratory
GCA_024321875.1,Respiratory
GCA_024352545.1,Respiratory
GCA_024351825.1,Respiratory
GCA_024371915.1,Respiratory
GCA_024371895.1,Respiratory
GCA_024371865.1,Respiratory
GCA_024352045.1,Respiratory
GCA_024352145.1,Respiratory
GCA_024371775.1,Respiratory
GCA_024352865.1,Respiratory
GCA_024352085.1,Respiratory
GCA_024356045.1,Respiratory
GCA_024352505.1,Respiratory
GCA_024353625.1,Respiratory
GCA_024351785.1,Respiratory
GCA_024351745.1,Respiratory
GCA_024371785.1,Respiratory
GCA_024371755.1,Respiratory
GCA_024371765.1,Respiratory
GCA_024351765.1,Respiratory
GCA_024371645.1,Respiratory
GCA_024371725.1,Respiratory
GCA_024352325.1,Respiratory
GCA_024371675.1,Respiratory
GCA_024352385.1,Respiratory
GCA_024371635.1,Respiratory
GCA_024371605.1,Respiratory
GCA_024371495.1,Respiratory
GCA_024371455.1,Respiratory
GCA_024371435.1,Respiratory
GCA_024352005.1,Respiratory
GCA_024371485.1,Respiratory
GCA_024350985.1,Respiratory
GCA_024351725.1,Respiratory
GCA_024371525.1,Respiratory
GCA_024350965.1,Respiratory
GCA_024371335.1,Respiratory
GCA_024350945.1,Respiratory
GCA_024371315.1,Respiratory
GCA_024371295.1,Respiratory
GCA_024350925.1,Respiratory
GCA_024351705.1,Respiratory
GCA_024350905.1,Respiratory
GCA_024371355.1,Respiratory
GCA_024371055.1,Hospital
GCA_024352025.1,Hospital
GCA_024371035.1,Hospital
GCA_024371015.1,Hospital
GCA_024350805.1,Hospital
GCA_024351665.1,Hospital
GCA_024370995.1,Hospital
GCA_024370975.1,Hospital
GCA_024370955.1,Hospital
GCA_024352065.1,Hospital
GCA_024352265.1,Hospital
GCA_024353525.1,Hospital
GCA_024353545.1,Hospital
GCA_024353245.1,Hospital
GCA_024351645.1,Hospital
GCA_024352105.1,Hospital
GCA_024370895.1,Hospital
GCA_024353325.1,Respiratory
GCA_024300845.1,Water
GCA_024369735.1,Respiratory
GCA_024353705.1,Respiratory
GCA_024369575.1,Respiratory
GCA_024369555.1,Respiratory
GCA_024353645.1,Respiratory
GCA_024353225.1,Respiratory
GCA_024353305.1,Respiratory
GCA_024355765.1,Respiratory
GCA_024369535.1,Respiratory
GCA_024364595.1,Respiratory
GCA_024364575.1,Respiratory
GCA_024369515.1,Respiratory
GCA_024369435.1,Bloodstream
GCA_024359685.1,Respiratory
GCA_024369335.1,Respiratory
GCA_024369375.1,Respiratory
GCA_024355565.1,Respiratory
GCA_024369355.1,Respiratory
GCA_024363855.1,Respiratory
GCA_024363735.1,Respiratory
GCA_024355525.1,Respiratory
GCA_024369235.1,Bloodstream
GCA_024368995.1,Respiratory
GCA_024367355.4,Respiratory
GCA_024366055.1,Respiratory
GCA_024366115.1,Respiratory
GCA_024372435.1,Respiratory
GCA_024372415.1,Respiratory
GCA_024372765.1,Respiratory
GCA_024440075.1,Respiratory
GCA_024440055.1,Respiratory
GCA_024439955.1,Respiratory
GCA_024440015.1,Respiratory
GCA_024379935.1,Respiratory
GCA_024439995.1,Respiratory
GCA_024439975.1,Respiratory
GCA_024439935.1,Respiratory
GCA_024439835.1,Bloodstream
GCA_024377755.1,Urinary
GCA_024375405.1,Urinary
GCA_024424755.1,Respiratory
GCA_024419255.4,Skin_Soft_Tissue
GCA_024418565.1,Urinary
GCA_024418465.4,Respiratory
GCA_024425195.1,Respiratory
GCA_024708035.1,Respiratory
GCA_024395995.1,Respiratory
GCA_024397355.1,Soil
GCA_024468375.4,Respiratory
GCA_024542575.1,Respiratory
GCA_024542355.1,Respiratory
GCA_024482545.1,Respiratory
GCA_024483345.1,Respiratory
GCA_024542375.1,Respiratory
GCA_024482525.1,Respiratory
GCA_024482485.1,Respiratory
GCA_024481305.1,Respiratory
GCA_024481285.1,Respiratory
GCA_024482505.1,Respiratory
GCA_024542555.1,Respiratory
GCA_024481265.1,Respiratory
GCA_024481245.1,Respiratory
GCA_024483325.1,Respiratory
GCA_024481785.1,Respiratory
GCA_024481225.1,Respiratory
GCA_024482965.1,Respiratory
GCA_024482445.1,Respiratory
GCA_024542515.1,Respiratory
GCA_024542495.1,Respiratory
GCA_024482465.1,Respiratory
GCA_024487905.1,Respiratory
GCA_024481205.1,Respiratory
GCA_024482925.1,Respiratory
GCA_024482405.1,Respiratory
GCA_024482425.1,Respiratory
GCA_024481185.1,Respiratory
GCA_024482385.1,Respiratory
GCA_024482365.1,Respiratory
GCA_024482345.1,Respiratory
GCA_024482985.1,Respiratory
GCA_024481165.1,Respiratory
GCA_024481145.1,Respiratory
GCA_024481105.1,Respiratory
GCA_024542335.1,Respiratory
GCA_024481085.1,Respiratory
GCA_024481125.1,Respiratory
GCA_024481045.1,Respiratory
GCA_024481025.1,Respiratory
GCA_024481765.1,Respiratory
GCA_024542315.1,Respiratory
GCA_024482325.1,Respiratory
GCA_024483085.1,Respiratory
GCA_024482285.1,Respiratory
GCA_024481065.1,Respiratory
GCA_024481005.1,Respiratory
GCA_024487845.1,Respiratory
GCA_024480985.1,Respiratory
GCA_024482945.1,Respiratory
GCA_024487825.1,Respiratory
GCA_024482305.1,Respiratory
GCA_024487805.1,Respiratory
GCA_024542295.1,Respiratory
GCA_024482905.1,Respiratory
GCA_024542475.1,Respiratory
GCA_024482885.1,Respiratory
GCA_024483825.1,Respiratory
GCA_024483245.1,Respiratory
GCA_024542535.1,Respiratory
GCA_024542275.1,Respiratory
GCA_024483285.1,Respiratory
GCA_024542255.1,Respiratory
GCA_024482825.1,Respiratory
GCA_024483125.1,Respiratory
GCA_024483045.1,Respiratory
GCA_024482865.1,Respiratory
GCA_024483225.1,Respiratory
GCA_024542235.1,Respiratory
GCA_024542215.1,Respiratory
GCA_024482845.1,Respiratory
GCA_024487525.1,Bloodstream
GCA_024487485.1,Bloodstream
GCA_024537975.1,Bloodstream
GCA_024541875.1,Bloodstream
GCA_024487345.1,Bloodstream
GCA_024527635.1,Respiratory
GCA_024490015.1,Respiratory
GCA_024488725.1,Respiratory
GCA_024527595.1,Respiratory
GCA_024488445.1,Respiratory
GCA_024488385.1,Respiratory
GCA_024534695.4,Gastrointestinal
GCA_024533775.4,Gastrointestinal
GCA_024534655.4,Gastrointestinal
GCA_024537855.4,Gastrointestinal
GCA_024533695.1,Gastrointestinal
GCA_024528645.4,Respiratory
GCA_024484125.4,Respiratory
GCA_024485725.4,Gastrointestinal
GCA_024505895.4,Respiratory
GCA_024487885.1,Urinary
GCA_024542795.4,Urinary
GCA_024534615.1,Gastrointestinal
GCA_024489075.4,Skin_Soft_Tissue
GCA_024530035.4,Urinary
GCA_024537655.4,Skin_Soft_Tissue
GCA_024537635.1,Gastrointestinal
GCA_024521215.1,Respiratory
GCA_024520995.1,Respiratory
GCA_024521195.1,Respiratory
GCA_024524395.1,Bloodstream
GCA_024518495.1,Respiratory
GCA_024574255.4,Urinary
GCA_024571475.4,Urinary
GCA_024574235.4,Gastrointestinal
GCA_024736685.4,Medical_Device
GCA_024571955.4,Urinary
GCA_024571935.4,Urinary
GCA_024569225.1,Respiratory
GCA_024464615.1,Water
GCA_024464635.1,Water
GCA_024464665.1,Water
GCA_024510925.1,Respiratory
GCA_024509715.1,Bloodstream
GCA_024495345.1,Water
GCA_024560925.4,Urinary
GCA_024559405.4,Respiratory
GCA_024566845.4,Gastrointestinal
GCA_024575875.4,Urinary
GCA_024542815.1,Respiratory
GCA_024584495.1,Respiratory
GCA_024587385.1,Respiratory
GCA_024587375.1,Ear_Nose_Throat
GCA_024587415.1,Respiratory
GCA_024587475.1,Ear_Nose_Throat
GCA_024587515.1,Respiratory
GCA_024587505.1,Respiratory
GCA_024587625.1,Respiratory
GCA_024587665.1,Respiratory
GCA_024587705.1,Respiratory
GCA_024587735.1,Respiratory
GCA_024587815.1,Respiratory
GCA_024587855.1,Respiratory
GCA_024587995.1,Respiratory
GCA_024588015.1,Respiratory
GCA_024588025.1,Respiratory
GCA_024588055.1,Respiratory
GCA_024588075.1,Respiratory
GCA_024588085.1,Respiratory
GCA_024588115.1,Respiratory
GCA_024588125.1,Respiratory
GCA_024588155.1,Respiratory
GCA_024588175.1,Respiratory
GCA_024588195.1,Respiratory
GCA_024615725.1,Gastrointestinal
GCA_024615665.1,Gastrointestinal
GCA_024633395.1,Gastrointestinal
GCA_024618265.1,Gastrointestinal
GCA_024656775.1,Gastrointestinal
GCA_024615745.1,Gastrointestinal
GCA_024615685.1,Gastrointestinal
GCA_024633375.1,Gastrointestinal
GCA_024656795.1,Gastrointestinal
GCA_024656755.1,Gastrointestinal
GCA_024618245.1,Gastrointestinal
GCA_024652945.3,Medical_Device
GCA_025001705.1,Respiratory
GCA_025001685.1,Respiratory
GCA_025001665.1,Respiratory
GCA_025001605.1,Respiratory
GCA_025001645.1,Respiratory
GCA_025001625.1,Respiratory
GCA_025001585.1,Respiratory
GCA_025001565.1,Respiratory
GCA_025001535.1,Respiratory
GCA_025001525.1,Respiratory
GCA_025001485.1,Respiratory
GCA_025001505.1,Respiratory
GCA_025001465.1,Respiratory
GCA_025001445.1,Respiratory
GCA_025001365.1,Respiratory
GCA_025001425.1,Respiratory
GCA_025001395.1,Respiratory
GCA_025000665.1,Respiratory
GCA_025000615.1,Respiratory
GCA_025001385.1,Respiratory
GCA_025001345.1,Respiratory
GCA_025001305.1,Respiratory
GCA_025001285.1,Respiratory
GCA_025001245.1,Respiratory
GCA_025001325.1,Respiratory
GCA_025000605.1,Respiratory
GCA_025000585.1,Respiratory
GCA_025001265.1,Respiratory
GCA_025001225.1,Respiratory
GCA_025001165.1,Respiratory
GCA_025001185.1,Respiratory
GCA_025001195.1,Respiratory
GCA_025001145.1,Respiratory
GCA_025001075.1,Respiratory
GCA_025001125.1,Respiratory
GCA_025001065.1,Respiratory
GCA_025001105.1,Respiratory
GCA_025001045.1,Respiratory
GCA_025001025.1,Respiratory
GCA_025000975.1,Respiratory
GCA_025000945.1,Respiratory
GCA_025001005.1,Respiratory
GCA_024999985.1,Respiratory
GCA_025000965.1,Respiratory
GCA_025000805.1,Respiratory
GCA_025000825.1,Respiratory
GCA_025000885.1,Respiratory
GCA_025000865.1,Respiratory
GCA_025000925.1,Respiratory
GCA_025000905.1,Respiratory
GCA_024999905.1,Respiratory
GCA_025000845.1,Respiratory
GCA_025000785.1,Respiratory
GCA_025000765.1,Respiratory
GCA_025000745.1,Respiratory
GCA_025000725.1,Respiratory
GCA_025000705.1,Respiratory
GCA_025000685.1,Respiratory
GCA_024999855.1,Respiratory
GCA_024999885.1,Respiratory
GCA_024999825.1,Respiratory
GCA_024999805.1,Respiratory
GCA_024999735.1,Respiratory
GCA_024999635.1,Respiratory
GCA_024999665.1,Respiratory
GCA_024999625.1,Respiratory
GCA_024999575.1,Respiratory
GCA_024999525.1,Respiratory
GCA_024999465.1,Respiratory
GCA_024999485.1,Respiratory
GCA_024999445.1,Respiratory
GCA_024999335.1,Respiratory
GCA_024999305.1,Respiratory
GCA_024999285.1,Respiratory
GCA_024999265.1,Respiratory
GCA_024999385.1,Respiratory
GCA_024997745.1,Respiratory
GCA_024997725.1,Respiratory
GCA_024997665.1,Respiratory
GCA_024997685.1,Respiratory
GCA_024997705.1,Respiratory
GCA_024997625.1,Respiratory
GCA_024997565.1,Respiratory
GCA_024997605.1,Respiratory
GCA_024997505.1,Respiratory
GCA_024997585.1,Respiratory
GCA_024997465.1,Respiratory
GCA_024963565.4,Urinary
GCA_024963585.4,Urinary
GCA_024963405.4,Urinary
GCA_024963165.1,Skin_Soft_Tissue
GCA_024963065.4,Respiratory
GCA_024963045.4,Urinary
GCA_024962965.1,Respiratory
GCA_024962465.1,Urinary
GCA_024962325.4,Urinary
GCA_024962125.4,Skin_Soft_Tissue
GCA_024961225.4,Urinary
GCA_024706435.1,Industrial
GCA_024714515.1,Respiratory
GCA_024714535.1,Urinary
GCA_024714555.1,Urinary
GCA_024714565.1,Respiratory
GCA_024714595.1,Respiratory
GCA_024714615.1,Respiratory
GCA_024714635.1,Respiratory
GCA_024714655.1,Skin_Soft_Tissue
GCA_024714665.1,Skin_Soft_Tissue
GCA_024714695.1,Respiratory
GCA_024714715.1,Respiratory
GCA_024714735.1,Respiratory
GCA_024714755.1,Respiratory
GCA_024714765.1,Respiratory
GCA_024714795.1,Respiratory
GCA_024714815.1,Respiratory
GCA_024714835.1,Respiratory
GCA_024714845.1,Respiratory
GCA_024714865.1,Respiratory
GCA_024714895.1,Respiratory
GCA_024714915.1,Respiratory
GCA_024714935.1,Respiratory
GCA_024714955.1,Respiratory
GCA_024714975.1,Urinary
GCA_024714985.1,Urinary
GCA_024715015.1,Respiratory
GCA_024715035.1,Urinary
GCA_024715055.1,Urinary
GCA_024715075.1,Urinary
GCA_024715095.1,Urinary
GCA_024715115.1,Urinary
GCA_024715135.1,Urinary
GCA_024715145.1,Urinary
GCA_024715195.1,Urinary
GCA_024715205.1,Bloodstream
GCA_024715215.1,Urinary
GCA_024715255.1,Bloodstream
GCA_024715275.1,Urinary
GCA_024715295.1,Skin_Soft_Tissue
GCA_024715355.1,Urinary
GCA_024715395.1,Urinary
GCA_024715415.1,Urinary
GCA_024715425.1,Urinary
GCA_024715455.1,Urinary
GCA_024715465.1,Urinary
GCA_024715495.1,Urinary
GCA_024715515.1,Urinary
GCA_024715505.1,Urinary
GCA_024715555.1,Urinary
GCA_024715565.1,Bloodstream
GCA_024715575.1,Urinary
GCA_024715615.1,Urinary
GCA_024715635.1,Urinary
GCA_024715655.1,Urinary
GCA_024715675.1,Respiratory
GCA_024715695.1,Respiratory
GCA_024715715.1,Urinary
GCA_024715735.1,Respiratory
GCA_024715725.1,Urinary
GCA_024715775.1,Urinary
GCA_024715795.1,Respiratory
GCA_024715815.1,Skin_Soft_Tissue
GCA_024715835.1,Urinary
GCA_024715845.1,Urinary
GCA_024715875.1,Urinary
GCA_024715895.1,Skin_Soft_Tissue
GCA_024715935.1,Urinary
GCA_024715915.1,Urinary
GCA_024715925.1,Urinary
GCA_024715975.1,Urinary
GCA_024715995.1,Urinary
GCA_024716015.1,Urinary
GCA_024716035.1,Urinary
GCA_024716055.1,Urinary
GCA_024716095.1,Urinary
GCA_024716115.1,Respiratory
GCA_024716135.1,Urinary
GCA_024716155.1,Respiratory
GCA_024716175.1,Respiratory
GCA_024716185.1,Respiratory
GCA_024716215.1,Respiratory
GCA_024716225.1,Respiratory
GCA_024716255.1,Bloodstream
GCA_024716275.1,Respiratory
GCA_024716295.1,Respiratory
GCA_024716305.1,Respiratory
GCA_024716355.1,Respiratory
GCA_024716375.1,Urinary
GCA_024716405.1,Respiratory
GCA_024716395.1,Urinary
GCA_024716435.1,Urinary
GCA_024716455.1,Respiratory
GCA_024716475.1,Bloodstream
GCA_024716495.1,Urinary
GCA_024716515.1,Urinary
GCA_024716525.1,Skin_Soft_Tissue
GCA_024716555.1,Respiratory
GCA_024716575.1,Bloodstream
GCA_024716595.1,Urinary
GCA_024716615.1,Urinary
GCA_024716635.1,Respiratory
GCA_024716645.1,Urinary
GCA_024716655.1,Urinary
GCA_024716705.1,Respiratory
GCA_024716685.1,Urinary
GCA_024716735.1,Respiratory
GCA_024716755.1,Respiratory
GCA_024716765.1,Urinary
GCA_024716785.1,Urinary
GCA_024716815.1,Respiratory
GCA_024716825.1,Respiratory
GCA_024716855.1,Urinary
GCA_024716875.1,Respiratory
GCA_024716895.1,Urinary
GCA_024716905.1,Respiratory
GCA_024716945.1,Respiratory
GCA_024716935.1,Respiratory
GCA_024716975.1,Respiratory
GCA_024716995.1,Respiratory
GCA_024717035.1,Respiratory
